id_ruta;id_rotonda;tramo;tramo_angulo_rotonda;diametro;carriles;velocidadMedia;angulo;crowdedness_left;crowdedness_center;crowdedness_right;vrus_left;vrus_center;vrus_right;distance_left;distance_center;distance_right;orientation_left;orientation_center;orientation_right
279;279_0;-80;;25;1;5;-5.91;3;2;2;0;0;0;13.9;14.9;10.1;2;2;2
279;279_0;-60;;25;1;28;0.29;2;0;4;0;0;0;14.4;28.3;9.3;4;4;4
279;279_0;-40;;25;1;30;0.91;1;0;1;0;0;0;15.3;;10.7;4;;4
279;279_0;-20;;25;1;23;4.46;0;0;1;0;0;0;27.3;25.6;27.6;1;0;0
279;279_0;0;45;25;1;19;8.95;1;1;2;0;0;0;19.1;24.5;17.2;4;2;5
279;279_0;0;90;25;1;23;10.25;1;2;3;0;0;0;14.5;23.2;8.4;4;2;4
279;279_0;20;;25;1;26;2.27;0;2;2;0;0;0;15.8;23;11;0;2;4
279;279_0;40;;25;1;30;0.23;2;1;2;0;0;0;17.7;24.3;9.2;0;4;4
279;279_0;60;;25;1;32;0.66;4;0;3;0;0;0;13.9;23.8;10.3;1;4;4
279;279_0;80;;25;1;32;0.76;3;1;3;0;0;0;16;26;8.8;4;4;4
279;279_0;100;;25;1;31;0.64;3;1;2;0;0;0;12.5;25.6;8.6;4;2;4
279;279_1;-100;;19;2;28;0.5;2;1;2;0;0;0;11;22.6;16.8;6;6;4
279;279_1;-80;;19;2;31;0.36;2;0;2;0;0;0;13.2;20.7;11.8;4;2;4
279;279_1;-60;;19;2;31;0.23;2;0;1;0;0;0;12.4;22.3;9.8;6;2;4
279;279_1;0;45;19;2;19;-4.11;0;0;0;0;0;0;;;28.3;;;1
279;279_1;0;90;19;2;17;-16.66;0;0;0;0;0;0;29.6;;11;6;;4
279;279_1;0;135;19;2;17;-17.95;0;0;0;0;0;0;29.3;28;11;6;6;4
279;279_1;0;180;19;2;22;-16.05;0;1;0;0;0;0;29.2;25.8;;6;7;
279;279_1;0;225;19;2;24;-9.73;0;2;0;0;0;0;14.4;22;21.8;6;7;0
279;279_1;0;270;19;2;24;2.3;1;2;2;0;0;0;10.3;19.9;14.9;6;6;0
279;279_2;0;45;34;2;23;1.98;0;1;1;0;0;0;28.2;22.9;18.5;4;0;1
279;279_2;0;90;34;2;19;-10.98;1;1;0;0;0;0;23.7;22.4;12.7;4;4;1
279;279_2;0;135;34;2;19;-11.91;0;2;0;0;0;0;17.4;18.8;12.2;7;7;5
279;279_2;0;180;34;2;18;2.59;2;2;2;0;0;0;10.1;15.8;14.2;4;4;4
279;279_2;0;225;34;2;21;5.07;3;0;4;0;0;0;14.9;24;8.9;4;4;4
279;279_2;20;;34;2;25;4.04;4;0;3;0;0;0;14.2;;9.3;4;;4
279;279_3;-20;;34;2;20;3.74;1;0;0;0;0;0;25.4;28.7;29.2;0;0;0
279;279_3;0;45;34;2;19;1.96;1;0;0;0;0;0;19.1;24.2;;0;7;
279;279_3;0;90;34;2;21;-7.62;1;1;0;1;0;0;10.5;19.2;29.3;6;7;7
279;279_3;0;135;34;2;20;6.76;1;1;0;0;0;0;9.9;20.4;29.3;6;6;7
279;279_3;0;180;34;2;21;4.08;2;1;0;0;0;0;8.2;23.9;;6;6;
279;279_3;20;;34;2;29;0.87;3;1;0;0;0;0;9.2;24.4;;6;6;
279;279_3;40;;34;2;32;0.29;3;1;0;0;0;0;10.2;24.9;;6;6;
279;279_3;60;;34;2;33;-0.02;1;0;0;0;0;0;8.6;23.1;;6;6;
279;279_3;80;;34;2;32;0.2;0;0;0;0;0;0;11.4;26;;6;6;
279;279_3;100;;34;2;31;0.2;0;0;0;0;0;0;10;23.1;;6;6;
279;279_4;-100;;22;2;44;;1;1;3;0;0;0;19.8;26.2;17.2;4;1;1
279;279_4;-80;;22;2;37;;1;2;3;0;0;0;13.8;24.9;9.4;6;2;1
279;279_4;-60;;22;2;26;-0.25;1;1;3;0;0;0;17;19.1;9.5;6;2;0
279;279_4;-40;;22;2;19;-0.36;1;1;2;0;0;0;15.5;16.4;10.9;6;2;0
279;279_4;-20;;22;2;19;-1.48;0;1;0;0;0;0;17.7;18.5;11.2;1;2;0
279;279_4;0;45;22;2;22;-3.62;1;1;0;0;0;0;18.2;12.6;5.4;1;1;5
279;279_4;0;90;22;2;19;-8.3;0;2;0;0;0;0;;7.8;24.2;;2;3
279;279_4;0;135;22;2;19;-4.2;0;2;1;0;0;0;7.3;8.6;24.9;7;2;3
279;279_4;0;180;22;2;20;2.66;0;1;1;0;0;0;6.1;10.6;26.5;7;2;3
279;279_4;20;;22;2;20;4.4;0;1;0;0;0;0;;13.4;27.7;;2;3
279;279_4;40;;22;2;21;1.06;0;2;0;0;0;0;8.4;14.3;;6;2;
279;279_4;60;;22;2;19;0.49;1;2;0;0;0;0;8.2;12.3;23.3;6;2;6
279;279_5;-60;;13;2;24;;2;1;0;0;0;0;10.6;15.9;;6;2;
279;279_5;-40;;13;2;21;-0.81;1;1;0;0;0;0;10.9;14.4;;6;2;
279;279_5;-20;;13;2;17;0.89;1;1;0;0;0;0;21.4;22.3;;7;2;
279;279_5;20;;13;2;26;-0.83;1;1;0;0;0;0;7.4;24.5;;2;6;
279;279_5;40;;13;2;29;-0.32;0;1;1;0;0;0;6.7;20.4;28.7;6;6;3
279;279_5;60;;13;2;29;2.17;0;0;1;0;0;0;5.9;19.5;29;6;7;3
279;279_5;80;;13;2;27;1.18;1;0;1;1;0;0;;;28.9;;;3
279;279_6;-80;;22;2;24;2.53;1;2;0;0;1;0;7.4;16.7;;6;2;
279;279_6;-60;;22;2;16;0.67;0;2;0;0;1;0;23.4;13.9;24.7;3;2;5
279;279_6;-40;;22;2;16;-0.67;1;1;0;0;0;0;18.5;14.1;15.4;3;2;3
279;279_6;-20;;22;2;17;5.7;1;0;1;0;0;0;11.7;20.9;16.4;3;2;3
279;279_6;0;45;22;2;21;-6.37;1;1;0;0;1;0;17.5;;;1;;
279;279_6;0;90;22;2;22;-10.32;1;1;1;0;1;1;16.9;;24;1;;4
279;279_6;0;135;22;2;22;-10.98;1;0;1;0;0;0;12.1;;14.8;1;;4
279;279_6;0;180;22;2;18;-12.21;1;0;0;0;0;0;12.2;8.7;9.2;1;1;3
279;279_6;0;225;22;2;23;-12.7;1;1;1;0;0;0;17.1;12.6;8.7;1;1;2
279;279_6;0;270;22;2;26;-7.62;0;1;2;0;0;1;23;19.1;16.1;6;3;3
279;279_6;0;315;22;2;25;1.39;1;0;1;0;0;1;23.7;;19.5;6;;5
279;279_7;20;;24;2;25;4.92;1;1;0;0;0;0;7.8;18.8;19.2;6;2;2
279;279_7;40;;24;2;29;0.55;1;1;1;0;0;1;13.8;20.5;19.5;6;2;2
279;279_7;60;;24;2;28;-3.52;0;3;1;0;0;0;;16.9;6.7;;3;3
279;279_7;80;;24;2;33;-1.44;0;2;2;0;0;0;25.7;19.6;6.1;6;3;3
279;279_7;100;;24;2;34;6.59;0;1;2;0;0;0;23.5;23.2;8.6;6;4;3
288;288_0;-100;;35;2;36;7.97;0;1;1;0;0;0;4.2;25.9;5.1;6;2;6
288;288_0;-80;;35;2;37;7.55;0;1;0;0;0;0;;23.8;;;2;
288;288_0;-60;;35;2;31;7.55;0;1;0;0;0;0;;21.4;;;2;
288;288_0;-40;;35;2;24;7.55;0;1;1;0;0;0;;19.3;23.9;;2;4
288;288_0;-20;;35;2;20;10.53;0;0;1;0;0;0;16.4;18.4;18.1;1;2;3
288;288_0;0;45;35;2;23;15.66;0;0;0;0;0;0;17.5;22.2;;1;7;
288;288_0;0;90;35;2;25;13.54;0;0;0;0;0;0;28.6;;;3;;
288;288_0;20;;35;2;32;7.55;0;0;0;0;0;0;;;;;;
288;288_0;40;;35;2;40;7.55;0;0;0;0;0;0;26;;;6;;
288;288_0;60;;35;2;42;7.55;0;0;0;0;0;0;23.6;;;6;;
288;288_0;80;;35;2;44;7.55;0;0;0;0;0;0;23.1;;;6;;
288;288_0;100;;35;2;43;7.55;0;0;0;0;0;0;;;;;;
288;288_1;-100;;50;3;42;7.55;0;0;0;0;0;0;;;;;;
288;288_1;-80;;50;3;40;7.55;0;0;0;0;0;0;23.2;25.5;13.8;6;3;3
288;288_1;-60;;50;3;41;7.55;0;0;0;0;0;0;;;;;;
288;288_1;-40;;50;3;34;7.55;0;0;0;0;0;0;;;;;;
288;288_1;-20;;50;3;21;10.86;0;0;0;0;0;0;;;;;;
288;288_1;0;45;50;3;27;13.32;0;0;0;0;0;0;;;;;;
288;288_1;0;90;50;3;32;14.92;0;0;0;0;0;0;;;;;;
288;288_1;20;;50;3;29;13.04;0;0;0;0;0;0;;;28.2;;;1
288;288_1;40;;50;3;34;8.72;0;0;0;0;0;0;;;28.2;;;1
288;288_1;60;;50;3;32;7.8;0;0;0;0;0;0;19.1;25.5;20.4;6;3;3
288;288_1;80;;50;3;26;1.67;0;0;0;0;0;0;22.8;25.5;13.8;6;3;3
288;288_1;100;;50;3;21;-13.41;0;0;0;0;0;0;23.2;25.5;13.8;6;3;3
288;288_2;-100;;46;3;39;8.3;0;0;0;0;0;0;;;;;;
288;288_2;-80;;46;3;35;8.3;0;0;0;0;0;0;26.4;;4;5;;5
288;288_2;-60;;46;3;20;7.73;0;0;0;0;0;0;26.4;;24.7;1;;4
288;288_2;-40;;46;3;22;8.64;0;0;0;0;0;0;21.3;14.8;25;4;4;4
288;288_2;-20;;46;3;21;18.49;0;0;0;0;0;0;12.6;15.4;19.2;4;4;3
288;288_2;0;45;46;3;26;8.43;0;0;0;0;0;0;6.7;11.4;21;3;3;3
288;288_2;0;90;46;3;38;2.55;0;0;0;0;0;0;;;4;;;6
288;288_2;0;135;46;3;40;1.87;0;0;0;0;0;0;;;;;;
288;288_2;0;180;46;3;40;2.26;0;0;0;0;0;0;;;;;;
288;288_2;0;225;46;3;41;2.66;0;0;0;0;0;0;;;25.7;;;1
288;288_2;0;270;46;3;41;11.22;0;0;0;0;0;0;23.4;;25.7;7;;1
288;288_2;20;;46;3;45;12.67;0;0;0;0;0;0;;;;;;
288;288_2;40;;46;3;47;10.39;0;0;0;0;0;0;;;;;;
288;288_2;60;;46;3;55;8.34;0;0;0;0;0;0;26;;;6;;
288;288_2;80;;46;3;55;8.3;0;0;0;0;0;0;26;;;6;;
288;288_2;100;;46;3;56;8.3;0;0;0;0;0;0;26.1;;4;5;;5
288;288_3;-100;;30;3;48;7.51;0;0;0;0;0;0;;;;;;
288;288_3;-80;;30;3;46;7.55;0;0;0;0;0;0;;;4;;;6
288;288_3;-60;;30;3;44;7.55;0;0;0;0;0;0;22.3;;4;5;;6
288;288_3;-40;;30;3;39;7.94;0;0;0;0;0;0;22.3;;4;5;;6
288;288_3;-20;;30;3;27;13.27;0;0;0;0;0;0;;;;;;
288;288_3;20;;30;3;38;9.99;1;0;0;0;0;0;7.8;24.7;;6;6;
288;288_3;40;;30;3;38;7.59;1;0;0;0;0;0;8.2;25.7;;6;6;
288;288_3;60;;30;3;42;7.26;0;0;0;0;0;0;9.5;23.2;;6;6;
288;288_3;80;;30;3;46;7.55;0;0;0;0;0;0;;;;;;
288;288_3;100;;30;3;49;7.4;0;0;0;0;0;0;;;;;;
288;289_0;-100;;24;2;29;1.5;0;0;0;0;0;0;;;;;;
289;289_0;-80;;24;2;18;1.75;0;0;0;0;0;0;23.3;;22.5;5;;0
289;289_0;-60;;24;2;21;1.87;0;0;0;0;0;0;;;;;;
289;289_0;-40;;24;2;21;1.5;0;0;0;0;0;0;;;;;;
289;289_0;-20;;24;2;19;2.33;0;0;0;0;0;0;;;;;;
289;289_0;0;45;24;2;24;-1.1;0;0;0;0;0;0;;28.6;26.4;;5;6
289;289_0;0;90;24;2;29;-1.89;0;0;2;0;0;0;;;23.2;;;6
289;289_0;0;180;24;2;29;1.76;0;0;3;0;0;0;;26.7;15.7;;4;0
289;289_0;20;;24;2;31;0;0;1;3;0;0;0;;25.7;12;;4;0
289;289_0;40;;24;2;30;-0.51;0;0;2;0;0;0;;28.4;15.4;;4;0
289;289_0;60;;24;2;30;-0.13;0;0;2;0;0;0;;28.5;21;;5;0
289;289_0;80;;24;2;30;-0.64;0;0;1;0;0;0;22;;22.3;6;;0
289;289_0;100;;24;2;25;0.16;0;0;1;0;0;0;23.3;;22.5;5;;0
289;289_1;-100;;55;2;23;0.56;0;0;0;0;0;0;;;4.1;;;5
289;289_1;-80;;55;2;16;-1.7;0;0;0;0;0;0;;;6.7;;;5
289;289_1;-60;;55;2;27;1.08;0;0;0;0;0;0;23.9;;;6;;
289;289_1;-40;;55;2;33;3.07;0;0;0;0;0;0;;;;;;
289;289_1;-20;;55;2;34;3.97;0;0;0;0;0;0;;;;;;
289;289_1;60;;55;2;50;1.5;0;0;0;0;0;0;;;;;;
289;289_1;80;;55;2;51;1.5;0;0;0;0;0;0;;;;;;
289;289_1;100;;55;2;50;1.5;0;0;0;0;0;0;;;;;;
289;289_10;-100;;37;3;36;-0.76;0;1;0;0;0;0;22.2;21.8;;6;2;
289;289_10;-80;;37;3;33;-0.76;0;1;0;0;0;0;26.2;18;;6;2;
289;289_10;-60;;37;3;29;-0.76;0;0;1;0;0;0;25.4;16.8;15.8;6;2;3
289;289_10;-40;;37;3;31;0.58;0;0;1;0;0;0;;;22;;;3
289;289_10;-20;;37;3;30;5.51;1;0;1;0;0;0;18.4;22;19.1;1;2;2
289;289_10;0;45;37;3;31;-4.41;1;1;1;0;0;0;14.5;21;18.9;1;3;2
289;289_10;0;90;37;3;31;-7.88;1;0;1;0;0;0;11.7;20.6;16.2;1;5;4
289;289_10;0;135;37;3;31;-7.78;1;0;0;0;0;0;10.8;;23.2;1;;3
289;289_10;0;180;37;3;30;-6.7;1;0;1;0;0;0;9.9;13;14.5;2;2;2
289;289_10;0;225;37;3;26;4.42;1;1;1;0;0;0;13.3;14.7;18.8;6;2;2
289;289_10;20;;37;3;29;1.85;0;2;1;0;0;0;14;14.2;11.1;6;2;2
289;289_10;40;;37;3;32;0.09;0;1;3;0;0;0;;14;9.2;;2;2
289;289_10;60;;37;3;30;0.31;0;2;3;0;0;0;26.4;15.3;6.9;3;2;2
289;289_10;80;;37;3;30;-0.76;0;2;2;0;0;0;19.1;18.1;7.8;2;2;2
289;289_11;-80;;48;2;33;-0.76;0;1;1;0;0;0;;24.4;6.6;;2;2
289;289_11;-60;;48;2;31;-0.76;0;1;0;0;0;0;23.3;25.6;8;6;2;2
289;289_11;-40;;48;2;28;-1.18;0;1;1;0;0;0;21;24;23.8;6;3;3
289;289_11;-20;;48;2;25;3.77;0;0;1;0;0;0;23;23.4;22.9;1;2;2
289;289_11;0;45;48;2;26;5.42;0;0;0;0;0;0;21.2;25.6;29.5;1;7;5
289;289_11;0;90;48;2;33;4.31;0;0;0;0;0;0;16.1;23.2;;7;7;
289;289_11;20;;48;2;35;-0.76;0;0;0;0;0;0;;;;;;
289;289_11;40;;48;2;41;-0.76;0;0;0;0;0;0;;;;;;
289;289_11;60;;48;2;43;-0.76;0;0;0;0;0;0;;23.3;;;2;
289;289_11;80;;48;2;45;-0.76;0;1;0;0;0;0;;19.7;8.3;;2;2
289;289_11;100;;48;2;45;-0.76;0;0;1;0;0;0;;21.3;6.5;;2;2
289;289_12;-100;;50;2;40;-0.76;0;0;0;0;0;0;22.4;;;6;;
289;289_12;-80;;50;2;39;-1.51;0;0;0;0;0;0;21.9;;29.3;6;;4
289;289_12;-60;;50;2;38;-0.76;0;0;0;0;0;0;;;29.3;;;4
289;289_12;-40;;50;2;34;-0.76;0;0;0;0;0;0;;;;;;
289;289_12;-20;;50;2;33;1.51;0;0;0;0;0;0;;;;;;
289;289_12;20;;50;2;25;2.14;0;1;0;0;0;0;12.2;20.4;;2;2;
289;289_12;40;;50;2;7;-10.53;0;1;0;0;0;0;13.3;7.1;;2;2;
289;289_2;-100;;89;2;55;1.5;0;0;0;0;0;0;;;;;;
289;289_2;-80;;89;2;49;1.16;0;0;0;0;0;0;;;;;;
289;289_2;-60;;89;2;44;-0.37;0;0;0;0;0;0;;;;;;
289;289_2;-40;;89;2;33;-2.89;0;0;0;0;0;0;;;;;;
289;289_2;-20;;89;2;23;4.09;0;0;0;0;0;0;;;;;;
289;289_2;0;45;89;2;30;-1.49;0;0;0;0;0;0;;;;;;
289;289_2;0;90;89;2;34;0.47;0;0;0;0;0;0;;;;;;
289;289_2;0;135;89;2;33;6.56;0;0;0;0;0;0;;;;;;
289;289_2;20;;89;2;36;0.75;0;0;0;0;0;0;;;;;;
289;289_2;40;;89;2;48;0.75;0;0;0;0;0;0;;;;;;
289;289_2;60;;89;2;46;0.75;0;0;0;0;0;0;;;;;;
289;289_2;80;;89;2;49;0.17;0;0;0;0;0;0;;;;;;
289;289_2;100;;89;2;52;-0.76;0;0;0;0;0;0;;;;;;
289;289_3;-100;;94;2;23;;0;1;0;0;0;0;;13.6;;;2;
289;289_3;-80;;94;2;19;0.11;0;1;0;0;0;0;21.8;20.2;10.2;6;2;2
289;289_3;-60;;94;2;11;1.02;1;2;0;0;0;0;8.9;11.8;21.9;2;2;4
289;289_3;-40;;94;2;7;0.75;1;2;0;0;0;0;10.9;8.9;21.3;2;2;3
289;289_3;-20;;94;2;9;2.06;1;2;0;0;0;0;7.1;13.3;13.1;2;2;2
289;289_3;0;45;94;2;22;1.53;1;1;0;0;0;0;13;14.2;13.6;2;2;2
289;289_3;0;90;94;2;32;-5.05;2;2;1;0;0;0;10.8;12.1;14.4;2;2;0
289;289_3;0;135;94;2;36;-3.87;0;2;0;0;0;0;16.6;13.1;4.7;2;2;1
289;289_3;0;180;94;2;40;3.17;0;2;0;0;0;0;25.4;13.7;;6;2;
289;289_3;20;;94;2;43;2.53;0;1;0;0;0;0;24.8;15.5;28.3;6;2;4
289;289_3;40;;94;2;49;0.79;0;1;0;0;0;0;;16.4;28.3;;2;4
289;289_3;60;;94;2;55;0.75;0;1;0;0;0;0;;14.2;;;2;
289;289_3;80;;94;2;59;-0.15;0;1;0;0;0;0;;17.9;7.9;;2;2
289;289_3;100;;94;2;65;-0.3;0;1;1;0;0;0;;26.3;10.2;;2;2
289;289_4;-100;;73;2;66;-0.19;0;0;0;0;0;0;20.7;;;6;;
289;289_4;-80;;73;2;57;-0.49;0;0;0;0;0;0;22.3;28.2;;6;2;
289;289_4;-60;;73;2;47;0.71;0;1;0;0;0;0;28.1;25.3;;3;2;
289;289_4;-40;;73;2;33;1.77;0;1;1;0;0;0;;18.7;27.5;;2;3
289;289_4;-20;;73;2;25;2.38;0;1;1;0;0;0;;12.7;26.2;;2;2
289;289_4;0;45;73;2;27;0.57;1;1;1;0;0;0;15.8;15;23.6;1;2;5
289;289_4;0;90;73;2;36;-6.74;1;0;1;0;0;0;13.2;17;21.6;1;2;0
289;289_4;0;135;73;2;38;-2.07;0;1;0;0;0;0;20.1;16.2;16.1;7;2;3
289;289_4;0;180;73;2;40;5.28;0;1;0;0;0;0;21.1;18.4;;7;2;
289;289_4;20;;73;2;45;4.2;0;1;0;0;0;0;;19.9;;;2;
289;289_4;40;;73;2;48;1.64;0;1;0;0;0;0;26.1;22.9;;6;2;
289;289_4;60;;73;2;51;0.67;0;1;0;0;0;0;25.7;26;;6;2;
289;289_4;80;;73;2;61;;0;1;0;0;0;0;;27.5;;;2;
289;289_4;100;;73;2;61;;0;1;0;0;0;0;;28.1;;;2;
289;289_5;-100;;75;2;49;;1;1;0;0;0;0;19.6;25.9;;6;2;
289;289_5;-80;;75;2;47;;0;0;0;0;0;0;20.8;24.6;;6;2;
289;289_5;-60;;75;2;43;0.6;0;1;0;0;0;0;28.2;22;;1;2;
289;289_5;-40;;75;2;39;1.24;0;1;0;0;0;0;;24;19.2;;2;2
289;289_5;-20;;75;2;35;2.75;0;1;0;0;0;0;23.8;22.7;19.2;1;2;2
289;289_5;0;45;75;2;34;-0.41;1;1;1;0;0;0;18.9;22.4;18.4;1;2;0
289;289_5;0;90;75;2;35;-6.8;1;1;1;0;0;0;19.6;23.8;12.4;1;2;0
289;289_5;0;135;75;2;37;-0.71;0;1;0;0;0;0;24;26.6;27.1;7;2;3
289;289_5;20;;75;2;47;3.01;0;0;1;0;0;0;;;23.1;;;2
289;289_5;40;;75;2;52;1.46;0;0;1;0;0;0;27.8;;22.1;6;;2
289;289_5;60;;75;2;52;0.52;0;0;0;0;0;0;23.2;;20.1;6;;2
289;289_5;80;;75;2;55;;0;0;0;0;0;0;22.6;;;6;;
289;289_5;100;;75;2;58;;0;0;0;0;0;0;22.3;;;6;;
289;289_6;-100;;78;2;32;;0;2;1;0;0;0;;16.1;8.3;;2;2
289;289_6;-80;;78;2;23;;0;1;1;0;0;0;23.9;18.5;7.9;6;2;2
289;289_6;-60;;78;2;19;;0;2;3;0;0;0;24.5;11.3;4.8;6;2;2
289;289_6;-40;;78;2;5;;0;1;1;0;0;0;14.9;5.9;14;2;5;2
289;289_6;-20;;78;2;17;2.07;0;0;1;0;0;0;11.3;7.2;16.6;4;2;3
289;289_6;0;45;78;2;26;1.91;1;0;1;0;0;0;17;14.7;17.1;1;3;3
289;289_6;0;90;78;2;35;-6.39;1;0;1;0;0;0;19.5;28.5;24.6;1;4;0
289;289_6;0;135;78;2;37;-6.34;0;1;1;0;0;0;24.5;27;22.3;7;2;3
289;289_6;0;180;78;2;38;0.96;1;0;1;0;0;0;21.1;25.8;27.4;7;7;3
289;289_6;20;;78;2;46;3.01;1;0;0;0;0;0;19.4;26.6;29.5;6;6;4
289;289_6;40;;78;2;49;1.84;1;0;0;0;0;0;20.9;;29.1;6;;4
289;289_6;60;;78;2;51;0.38;1;0;0;0;0;0;24.8;;28.6;6;;4
289;289_6;80;;78;2;59;;1;0;0;0;0;0;25;;;6;;
289;289_6;100;;78;2;61;;0;0;0;0;0;0;23.9;;;6;;
289;289_7;-100;;24;2;63;;0;0;0;0;0;0;17.9;;;0;;
289;289_7;-80;;24;2;59;;0;0;0;0;0;0;;29.2;26.8;;3;2
289;289_7;-60;;24;2;45;1.53;0;0;1;0;0;0;;27.4;25.3;;2;2
289;289_7;-40;;24;2;35;4.97;1;1;2;0;0;0;25.1;24.3;18.3;1;0;0
289;289_7;-20;;24;2;34;-0.56;1;0;1;0;0;0;24;18.7;8.6;1;0;1
289;289_7;20;;24;2;39;4.8;0;0;0;0;0;0;21.2;;;6;;
289;289_7;40;;24;2;46;2.13;0;0;0;0;0;0;20.4;;;6;;
289;289_7;60;;24;2;46;0.43;0;0;0;0;0;0;;;;;;
289;289_7;80;;24;2;52;;0;0;0;0;0;0;;;;;;
289;289_7;100;;24;2;54;;0;0;0;0;0;0;;;27.2;;;2
289;289_8;-100;;62;2;65;-0.76;0;0;0;0;0;0;25.4;;;6;;
289;289_8;-80;;62;2;65;-0.76;0;0;0;0;0;0;23.9;28.9;;6;2;
289;289_8;-60;;62;2;57;-0.76;0;1;0;0;0;0;24.1;25.7;;6;2;
289;289_8;-40;;62;2;48;-0.24;0;0;1;0;0;0;23.7;23.6;18.5;5;2;3
289;289_8;-20;;62;2;33;2.1;0;0;1;0;0;0;;18.7;17.8;;2;3
289;289_8;0;45;62;2;31;1.26;1;0;0;0;0;0;18.2;20.4;17.8;1;2;2
289;289_8;0;90;62;2;36;-8.72;1;0;0;0;0;0;18.3;20.3;29.8;1;2;5
289;289_8;0;135;62;2;39;-6.76;0;0;1;0;0;0;24.2;20.7;17.8;0;2;3
289;289_8;0;180;62;2;38;5.49;1;1;1;0;0;0;23;24.1;13.4;6;2;3
289;289_8;20;;62;2;39;4.07;1;1;0;0;0;0;21.7;25.8;;6;2;
289;289_8;40;;62;2;42;0.47;0;1;0;0;0;0;22.4;27.5;;6;2;
289;289_8;60;;62;2;50;-0.76;0;0;0;0;0;0;23.6;29.2;;6;2;
289;289_8;80;;62;2;55;-0.76;0;0;0;0;0;0;22.9;;;6;;
289;289_8;100;;62;2;56;-0.76;0;0;0;0;0;0;23.4;;;6;;
289;289_9;-100;;33;2;54;-0.67;1;1;0;0;0;0;21.1;25.8;;6;2;
289;289_9;-80;;33;2;51;;0;1;0;0;0;0;14.1;21.2;;2;2;
289;289_9;-60;;33;2;49;;0;2;0;0;0;0;11.5;16.9;;3;2;
289;289_9;-40;;33;2;34;0.09;1;1;1;0;0;0;3.9;14.1;15.7;2;2;3
289;289_9;-20;;33;2;18;4.61;0;0;1;0;0;0;4.8;17.9;18.4;2;2;3
289;289_9;20;;33;2;35;5.03;0;0;0;0;0;0;23.2;;;6;;
289;289_9;40;;33;2;40;4.01;0;0;0;0;0;0;24;;;6;;
289;289_9;60;;33;2;43;-0.19;1;0;0;0;0;0;5.6;;;2;;
289;289_9;80;;33;2;47;-0.76;1;0;0;0;0;0;8.2;;;2;;
289;289_9;100;;33;2;48;-0.76;0;1;0;0;0;0;12.4;21.4;;2;3;
290;290_0;-100;;48;3;45;0.75;0;0;0;0;0;0;;25.3;;;2;
290;290_0;-80;;48;3;40;1;0;0;0;0;0;0;;22.3;8.2;;2;2
290;290_0;-60;;48;3;40;1.51;0;0;1;0;0;0;;;11.1;;;2
290;290_0;-40;;48;3;35;1.96;0;0;1;0;0;0;;;23;;;4
290;290_0;-20;;48;3;29;6.99;0;0;1;0;0;0;;;15.7;;;2
290;290_0;0;45;48;3;30;-2.81;0;0;0;0;0;0;;;9.1;;;2
290;290_0;0;90;48;3;26;-9.63;0;0;0;0;0;0;;;;;;
290;290_0;0;135;48;3;29;-7.3;0;0;0;0;0;0;;;12.4;;;6
290;290_0;0;180;48;3;33;5.4;0;0;0;0;0;0;;;;;;
290;290_0;0;225;48;3;33;6.59;1;0;0;0;0;0;24.1;;;6;;
290;290_0;20;;48;3;34;3.73;1;1;0;0;0;0;23.7;22.9;;6;2;
290;290_0;40;;48;3;39;0.98;0;2;1;0;0;0;;20.9;6.7;;2;2
290;290_0;60;;48;3;42;0.75;0;1;2;0;0;0;23.3;20.9;5.1;6;2;2
290;290_1;-80;;37;3;39;0.75;0;0;0;0;0;0;19.3;24.1;11.1;6;2;2
290;290_1;-60;;37;3;36;0.75;1;0;0;0;0;0;21.3;16.4;9.2;6;2;2
290;290_1;-40;;37;3;32;2.66;1;1;0;0;0;0;16.6;19.9;;4;4;
290;290_1;-20;;37;3;20;6.98;0;1;1;0;0;0;7.4;14.9;18.2;4;3;3
290;290_1;20;;37;3;26;4.18;0;0;1;0;0;0;;;26.5;;;3
290;290_1;40;;37;3;38;4.45;0;0;0;0;0;0;;;27;;;2
290;290_1;60;;37;3;38;0.88;0;0;1;0;0;0;;;19.1;;;2
290;290_1;80;;37;3;38;0.75;0;0;1;0;0;0;;;12.8;;;2
290;290_1;100;;37;3;32;0.75;0;0;0;0;0;0;;27.5;;;2;
290;290_2;-100;;39;2;53;0.75;0;2;2;0;0;0;;21.5;11.5;;2;1
290;290_2;-80;;39;2;46;0.75;0;1;0;0;0;0;13.7;23.8;8.5;2;2;1
290;290_2;-60;;39;2;41;0.75;0;2;0;0;0;0;25.6;18;19.3;6;2;3
290;290_2;-40;;39;2;38;1.39;0;1;1;0;0;0;;15.4;18.4;;3;3
290;290_2;-20;;39;2;33;6.48;0;1;0;0;0;0;14.3;17.1;18;2;2;3
290;290_2;0;45;39;2;34;-0.52;1;0;0;0;0;0;18;22.2;;1;1;
290;290_2;0;90;39;2;35;-6.79;1;0;0;0;0;0;18.7;21.8;;1;2;
290;290_2;0;135;39;2;34;-4.76;1;1;1;0;0;0;17;16.2;23.5;2;3;3
290;290_2;20;;39;2;37;5.92;0;1;1;0;0;0;;13.4;24.9;;2;2
290;290_2;40;;39;2;39;5.42;1;1;0;0;0;0;10.2;18.5;27.1;2;2;2
290;290_2;60;;39;2;47;0.75;1;1;0;0;0;0;7.3;27.2;;2;2;
290;290_2;80;;39;2;54;0.75;1;1;0;0;0;0;5.6;24.9;;2;2;
